what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1357215186148
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1357215186390
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1357215186391
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1357215186410
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1357215186477
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1357215186478
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1357215186555
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1357215186556
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1357215186585
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1357215186586
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1357215186589
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1357215186646
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1357215186647
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1357215186679
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1357215186711
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1357215186711
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1357215186712
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1357215186713
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1357215186744
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1357215186745
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1357215186788
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1357215186789
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1357215186860
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1357215186861
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1357215186861
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1357215186861
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1357215186861
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1357215186862
started,bundle,com.perforce.team.core,2010.1.275861,"com.perforce.team.core",1357215186862
started,bundle,com.perforce.team.core.mylyn,2010.1.275861,"com.perforce.team.core.mylyn",1357215186863
started,bundle,com.perforce.team.ui,2010.1.275861,"com.perforce.team.ui",1357215187075
started,bundle,com.perforce.team.ui.mylyn,2010.1.275861,"com.perforce.team.ui.mylyn",1357215187076
started,bundle,org.eclipse.dltk.core,2.0.1.v20100806-1245,"org.eclipse.dltk.core",1357215187123
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100806-1245,"org.eclipse.dltk.launching",1357215187125
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui",1357215187179
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1357215187181
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1357215187233
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.core",1357215187235
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1357215187236
started,bundle,org.eclipse.mylyn.commons.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.core",1357215187236
started,bundle,org.eclipse.mylyn.commons.net,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.net",1357215187236
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1357215187237
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1357215187238
started,bundle,org.eclipse.mylyn.commons.notifications.ui,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.ui",1357215187239
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1357215187240
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1357215187241
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1357215187241
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1357215187242
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1357215187243
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.index.core",1357215187244
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1357215187311
os,sysinfo,,,"win32",1357215187316
arch,sysinfo,,,"x86",1357215187316
ws,sysinfo,,,"win32",1357215187316
locale,sysinfo,,,"en_US",1357215187316
processors,sysinfo,,,"4",1357215187317
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1357215187317
java.runtime.version,sysinfo,,,"1.6.0_37-b06",1357215187317
java.specification.name,sysinfo,,,"Java Platform API Specification",1357215187317
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1357215187317
java.specification.version,sysinfo,,,"1.6",1357215187317
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1357215187317
java.version,sysinfo,,,"1.6.0_37",1357215187317
java.vm.info,sysinfo,,,"mixed mode",1357215187317
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1357215187317
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1357215187317
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1357215187317
java.vm.specification.version,sysinfo,,,"1.0",1357215187317
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1357215187317
java.vm.version,sysinfo,,,"20.12-b01",1357215187317
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357215187430
started,bundle,amazon.devtools.brazil.eclipse.BrazilEclipsePlugin,1001.254.0,"amazon.devtools.brazil.eclipse.BrazilEclipsePlugin",1357215196690
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1357215196795
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1357215198025
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1357215198095
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1357215198097
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1357215198455
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1357215199258
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1357215199259
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1357215199356
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1357215199364
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1357215200816
started,bundle,amazon.ht2.trails.eclipse.plugin.HappyTrailsEclipsePlugin,2004.36.19,"amazon.ht2.trails.eclipse.plugin.HappyTrailsEclipsePlugin",1357215205478
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1357215210747
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1357215211241
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1357215211242
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1357215211614
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1357215211726
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1357215215291
error,log,,,"Error prefetching package names",1357215218702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357215309518
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1357215309976
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1357215310343
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1357215310355
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1357215310752
activated,view,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1357215313003
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1357215313017
closed,view,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1357215313053
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1357215314504
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1357215314509
closed,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1357215314526
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1357215315971
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1357215315995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357215320991
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357215386304
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357215386920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357215389708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357215389735
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357215390947
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357215391091
error,log,,,"Invalid preference page path: Logging",1357215392477
stopped,bundle,org.eclipse.birt.report.debug.ui,2.6.2.r262_v20110127,"org.eclipse.birt.report.debug.ui",1357215392763
stopped,bundle,org.eclipse.birt.chart.reportitem.ui,2.6.2.r262_v20110127,"org.eclipse.birt.chart.reportitem.ui",1357215392832
stopped,bundle,org.eclipse.birt.report.item.crosstab.ui,2.6.2.r262_v20110127,"org.eclipse.birt.report.item.crosstab.ui",1357215392955
stopped,bundle,org.eclipse.birt.report.designer.ui.ide,2.6.2.r262_v20110127,"org.eclipse.birt.report.designer.ui.ide",1357215392985
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1382588161112
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1382588161113
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1382588161114
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1382588161114
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1382588161115
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1382588161116
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1382588161116
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1382588161116
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1382588161337
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1382588161338
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1382588161339
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1382588161367
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1382588161368
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1382588161387
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1382588161388
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1382588161389
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1382588161389
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1382588161390
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1382588161391
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1382588161392
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1382588161392
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1382588161393
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1382588161394
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1382588161395
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1382588161395
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1382588161396
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1382588161397
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1382588161397
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1382588161398
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1382588161399
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1382588161399
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1382588161400
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1382588161401
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1382588161401
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1382588161402
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1382588161423
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1382588161423
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1382588161424
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1382588161456
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1382588161457
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1382588161459
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1382588161461
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1382588161495
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1382588161496
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1382588161499
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1382588161501
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1382588161511
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1382588161562
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1382588161563
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1382588161565
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1382588161566
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1382588161568
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1382588161581
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1382588161583
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1382588161583
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1382588161585
os,sysinfo,,,"win32",1382588161612
arch,sysinfo,,,"x86_64",1382588161612
ws,sysinfo,,,"win32",1382588161612
locale,sysinfo,,,"en_US",1382588161612
processors,sysinfo,,,"4",1382588161612
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1382588161613
java.runtime.version,sysinfo,,,"1.7.0_40-b43",1382588161613
java.specification.name,sysinfo,,,"Java Platform API Specification",1382588161613
java.specification.vendor,sysinfo,,,"Oracle Corporation",1382588161613
java.specification.version,sysinfo,,,"1.7",1382588161613
java.vendor,sysinfo,,,"Oracle Corporation",1382588161613
java.version,sysinfo,,,"1.7.0_40",1382588161613
java.vm.info,sysinfo,,,"mixed mode",1382588161613
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1382588161613
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1382588161613
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1382588161613
java.vm.specification.version,sysinfo,,,"1.7",1382588161613
java.vm.vendor,sysinfo,,,"Oracle Corporation",1382588161613
java.vm.version,sysinfo,,,"24.0-b56",1382588161613
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1382588161741
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1382588161821
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1382588162098
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1382588162666
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1382588162738
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1382588163025
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1382588163089
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1382588163235
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1382588163449
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1382588163498
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1382588164080
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1382588164111
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1382588164291
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1382588164465
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1382588165534
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1382588165536
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1382588165671
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1382588166015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382588638708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382588717060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382588717902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382588772521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382588773267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382588836489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382588836976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382588876995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382588878679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382588879912
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382588880230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382588888777
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382588890307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382592234675
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382592237802
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382592239110
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382592239360
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1382592240947
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1382592240972
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1382592241957
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1382592241988
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1382592242098
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1382592242197
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1382592242290
